feature,disease
Delta  Phalanx;  Epiphyseal  Bracket;  Kissing,Cenani-Lenz type syndactyly
Delta  Phalanx;  Epiphyseal  Bracket;  Kissing,Desbuquois dysplasia
Delta  Phalanx;  Epiphyseal  Bracket;  Kissing,Down syndrome
Delta  Phalanx;  Epiphyseal  Bracket;  Kissing,Eiken dysplasia
Delta  Phalanx;  Epiphyseal  Bracket;  Kissing,Isolated anomaly
Delta  Phalanx;  Epiphyseal  Bracket;  Kissing,"Oligosyndactyly, metacarpal fusions, carpal coalition, kissing delta phalanx"
Delta  Phalanx;  Epiphyseal  Bracket;  Kissing,Polysyndactyly
Delta  Phalanx;  Epiphyseal  Bracket;  Kissing,Rubinstein-Taybi syndrome
Delta  Phalanx;  Epiphyseal  Bracket;  Kissing,Synpolydactyly
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Acheiropodia
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Acrofacial dysostosis
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Acrorenal syndrome (Dieker-Opitz syndrome)
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Amniotic band  sequence
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Anonychia-ectrodactyly syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ","Aphalangy, hemivertebrae, and urogenital_intestinal dysgenesis in siblings"
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Aplasia cutis congenita
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Atelosteogenesis
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Baller-Gerold syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Brachmann-de Lange syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ","Brachydactyly, ectrodactyly, and  absence or hypoplasia of the fibula"
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ","Brachydactyly, syndactyly, polydactyly ˆ(hands), oligodactyly (feet)"
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Cenani-Lenz syndactyly
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Charlie M syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",CHILD syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Chorionic villus sampling-transverse limb deficiency
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ","Chromosome abnormalities (chromosome 13, 18 trisomy, deletion of chromosome 2q24- q31) "
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ","Cleft lip and  palate, lower lip pits, and limb deficiency defects"
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ","Cleft palate, cardiac defect, genital  anomalies, and  ectrodactyly (CCGE); autosomal recessive"
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Cocaine abuse
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ","Craniosynostosis, microcephaly, hydranencephaly, humero-radial synostosis, thumb aplasia"
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ","Distal aphalangia, syndactyly, extra metatarsal, microcephaly, short stature, etc.; autosomal dominant"
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",DOOR syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Down  syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Ectromelia associated with and interstitial deletion of 7q
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",EEC syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Eronen syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ","Extraocular muscle fibrosis, ulnar hand anomalies"
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Femur-fibula-ulna syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Fetal hydantoin syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Fetal phenytoin toxicity
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Fetal pyrimethamine syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Fryns syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Fuhrmann syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Glossopalatine ankylosis syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Goltz syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Grebe chondrodysplasia
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Hand-foot-genital syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Hanhart syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Holt-Oram syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Humeroradioulnar synostosis  and oligoectrosyndactyly
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Hypoglossia-hypodactylia syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Keratosis a palmaris et plantaris familiaris (tylosis) 
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ","Laryngeal atresia, encephalocele, limb reduction defects (radius, tibia, fingers/toes)"
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Marles-Chudley syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ","Mesomelic dysplasia, type Werner"
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Mobius syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ","Nephrosis, deafness, cleft uvula, congenital urinary tract and distal digital anomalies in siblings"
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Oculodentoosseous dysplasia
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ","Oligopolysyndactyly, bilateral cheilognathopalatoschisis, truncus arteriosus, etc.; siblings "
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Onychonychia and absence and/or hypoplasia of distal phalanges
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Ophthalmo-acromelic syndrome 
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Opitz trigonocephaly syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Orofaciodigital syndrome I
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Oromandibular-limb hypogenesis
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ","Osteodysplasty, Melnick-Needles type (lethal male)      "
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Poland sequence
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Polyoligodactyly-imperforateanus-vertebral anomalies syndrome (PIV syndrome)
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ","Postaxial acrofacial  dysostosis syndrome, Miller type"
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ","Postaxial polydactyly, ulnar ray dysgenesis, renal cystic dysplasia "
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Pterygium syndromes
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Roberts syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ","Short stature, unilateral absence fibula, oligodactyly, trigonocephaly"
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Splenogonadal fusion/limb deformity
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Split-hand/split-foot deformities
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Symbrachydactyly-oligodactyly
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Tetramelic postaxial oligodactyly; autosomal dominant
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Thalidomide embryopathy 
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Turner syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ","Ulnar agenesis, radial hypoplasia, oligodactyly, endocardial fibroelastosis, and hydrops fetalls"
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Ulnar aplasia with ectrodactylous feet
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Ulnar-mammary syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Unilateral terminal transverse defects of the hand; dominant inheritance 
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Waardenburg anophthalmia syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Weyers oligodactyly syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Yunis-Var6n syndrome
"Digital Absence: Adactyly, Oligodactyly, Monodactyly ",Zimmermann-Laband syndrome
DumbbellˆShaped Tubular  Bones,Bloomstrand dysplasia
DumbbellˆShaped Tubular  Bones,Diastrophic dysplasia
DumbbellˆShaped Tubular  Bones,Dyssegmental dysplasia
DumbbellˆShaped Tubular  Bones,Fibrochondrogenesis
DumbbellˆShaped Tubular  Bones,Kniest dysplasia
DumbbellˆShaped Tubular  Bones,Metatropic dysplasia
DumbbellˆShaped Tubular  Bones,Otospondylomegaepiphyseal dysplasia
DumbbellˆShaped Tubular  Bones,Pseudoachondroplasia (severe form)
DumbbellˆShaped Tubular  Bones,"Rhizomelic bone dysplasia with clublike femurs and humeri, elbow dislocation, etc. "
DumbbellˆShaped Tubular  Bones,Weissenbacher-Zweymiiller phenotype
"Duplication, Bones/Anatomic Structures","Aplasia of tibia, bifurcation of femur and ectrodactyly"
"Duplication, Bones/Anatomic Structures",Calcaneus
"Duplication, Bones/Anatomic Structures",Disorganization complex
"Duplication, Bones/Anatomic Structures",Femoral duplication
"Duplication, Bones/Anatomic Structures",Fibular dimelia and dcficiency of tibia
"Duplication, Bones/Anatomic Structures","Fibular dimdia, tibial  deficiency, and proximal focal femoral deficiency"
"Duplication, Bones/Anatomic Structures","Fibular dimelia, duplicated foot "
"Duplication, Bones/Anatomic Structures",Humerospinal dysostosis (distal bifurcation of humerus)
"Duplication, Bones/Anatomic Structures",Laurin-Sandrow syndrome
"Duplication, Bones/Anatomic Structures",Limb duplication-renal agenesis: partial aplasia of lower  limb  and  aplasia  of ipsilateral kidney
"Duplication, Bones/Anatomic Structures",Metatarsals (without polydactyly)
"Duplication, Bones/Anatomic Structures","Minor tibial duplication causing congenital bowing of tibia, associated with  homolateral bifid great toe"
"Duplication, Bones/Anatomic Structures",Optic canals
"Duplication, Bones/Anatomic Structures",Scapula
"Duplication, Bones/Anatomic Structures",Supernumerary limbs-plus
"Duplication, Bones/Anatomic Structures",Ulna
Ectrodactyly, lves-Houston syndrome (lethal autosomal recessive)
Ectrodactyly,Acheiropodia
Ectrodactyly,Acro-cardio-facial syndrome
Ectrodactyly,Acrorenal syndrome
Ectrodactyly,Adams-Oliver Syndrome 
Ectrodactyly,ADULT syndmme (acro-dermato-ungual- lacrimal-tooth) 
Ectrodactyly,Amniotic band sequence
Ectrodactyly,Ankyloglossia superior
Ectrodactyly,Anonychia-ectrodactyly syndrome
Ectrodactyly,"Aplasia cutis congenita, cleft palate, epidermolysis bullosa, and electrodactyly"
Ectrodactyly,"Aplatia of tibia, bifurcation of femur and ectrodactyly"
Ectrodactyly,Atelosteogenesis
Ectrodactyly,"Autosomal-recessive short-limb dwarfism, absent fibulae, and brachydactyly"
Ectrodactyly,Brachmann-de Lange syndrome
Ectrodactyly,"Brachydactyly, ectrodactyly, and  absence or hypoplasia of the fibula"
Ectrodactyly,Chorion villus sampling in early pregnancy
Ectrodactyly,Chromosome 13 trisomy syndrome
Ectrodactyly,Chromosome 18 trisomy syndrome
Ectrodactyly,Chromosome 7q abnormalities
Ectrodactyly,"Craniofacial dysostosis, limb malformations, and omphalocele"
Ectrodactyly,Ectrodactyly and cleft palate syndrome
Ectrodactyly,"Ectrodactyly of hands and feet, and complex translocation including 7q21.2"
Ectrodactyly,Ectrodactyly-absence of long bones
Ectrodactyly,Ectrodactyly-glaucoma
Ectrodactyly,"Ectrodactyly, phocomelia, deafness, arrhythmia"
Ectrodactyly,Ectrodactyly/mandibulofacial dysostosis
Ectrodactyly,Ectromelia associated with and interstitial deletion of 7q 
Ectrodactyly,EEC syndrome
Ectrodactyly,EEM # 1 syndrome (ectodermal dysplasia_ectrodactyly-muscular dystrophy)
Ectrodactyly,EEM # 2 syndrome (ectodermal dysplasia_ ectrodactyly-macular dystrophy)
Ectrodactyly,Eronen syndrome
Ectrodactyly,"Familial brachydactyly with hypoplastic thumbs and great toes, and coalescence of the carpal and tarsal bones"
Ectrodactyly,Familial split hand-split foot anomaly 
Ectrodactyly,Fetal alcohol exposure
Ectrodactyly,Fibular aplasia-ectrodactyly
Ectrodactyly,Fontaine syndrome
Ectrodactyly,Fuhrmann syndrome
Ectrodactyly,Gollop-Wolfgang complex (femur bifurcation tibial agenesis)
Ectrodactyly,Goltz syndrome
Ectrodactyly,Hand-foot-genital syndrome
Ectrodactyly,Holt-Oram syndrome
Ectrodactyly,Hypoglossia-hypodactylia syndrome
Ectrodactyly,Limb-mammary syndrome
Ectrodactyly,Mobius syndrome
Ectrodactyly,Oligodactyly and Robin sequence (familial)
Ectrodactyly,Oral-acral syndrome 
Ectrodactyly,Poland  sequence
Ectrodactyly,Roberts syndrome
Ectrodactyly,Scalp defects and  ectrodactyly
Ectrodactyly,Split hand and  split  foot deformities
Ectrodactyly,"Split hand, hypospadias, microphthalmia, dysmorphism"
Ectrodactyly,Tibial agenesis-ectrodactyly syndrome
Ectrodactyly,Treacher Collins syndrome
Ectrodactyly,Yunis-Var6n syndrome 
Ectrodactyly,Zimmermann-Laband syndrome
Elbow/Radial Head Dislocation,Aase-Smith syndrome
Elbow/Radial Head Dislocation,"Acro-osteolysis, familial idiopathic"
Elbow/Radial Head Dislocation,Acromesomelic dysplasia
Elbow/Radial Head Dislocation,Aminopterin fetopathy
Elbow/Radial Head Dislocation,Auriculo-osteodysplasia
Elbow/Radial Head Dislocation,"Autosomal-recessive short-limb dwarfism, absent fibulae, and brachydactyly"
Elbow/Radial Head Dislocation,Brachmann-de Lange syndrome
Elbow/Radial Head Dislocation,Campomelic dysplasia
Elbow/Radial Head Dislocation,Cenani-Lenz type syndactyly 
Elbow/Radial Head Dislocation,Cerebrocostomandibular syndrome 
Elbow/Radial Head Dislocation,Chromosome disorders
Elbow/Radial Head Dislocation,Chromosome XXXXY syndrome
Elbow/Radial Head Dislocation,Chromosome XXXXY syndrome
Elbow/Radial Head Dislocation,Cloverleaf skull deformity
Elbow/Radial Head Dislocation,Coffin-Siris syndrome
Elbow/Radial Head Dislocation,"Congenital, isolated anomaly  (unilateral, bilateral) "
Elbow/Radial Head Dislocation,Crane-Heise syndrome
Elbow/Radial Head Dislocation,Crouzon syndrome
Elbow/Radial Head Dislocation,Cutis laxa
Elbow/Radial Head Dislocation,Diabetic fetopathy
Elbow/Radial Head Dislocation,"Dislocated hips and radial heads, carpal coalition, and short stature syndrome "
Elbow/Radial Head Dislocation,Dyschondrosteosis
Elbow/Radial Head Dislocation,Exostosis (multiple cartilaginous)
Elbow/Radial Head Dislocation,"Familial congenital micromelic dysplasia (humeri and femurs most affected), elbow dislocation, and distinct face "
Elbow/Radial Head Dislocation,"Familial dislocation of radial head; autosomal recessive, autosomal dominant"
Elbow/Radial Head Dislocation,Fanconi anemia
Elbow/Radial Head Dislocation,FGFR-opathies (FGFR3) 
Elbow/Radial Head Dislocation,Frontometaphyseal dysplasia
Elbow/Radial Head Dislocation,Humerospinal dysostosis
Elbow/Radial Head Dislocation,Larsen syndrome
Elbow/Radial Head Dislocation,Liebenberg syndrome
Elbow/Radial Head Dislocation,"Mesomelic dysplasia, Nievergelt type"
Elbow/Radial Head Dislocation,"Mesomelic dysplasia, periosteal thickening, radial dislocation, osteoporosis, fractures (Kozlowski)"
Elbow/Radial Head Dislocation,Metatropic dysplasia (variant)
Elbow/Radial Head Dislocation,Microcephalic osteodysplastic primordial dwarfism (type II)
Elbow/Radial Head Dislocation,Mietens-Weber syndrome
Elbow/Radial Head Dislocation,Multiple epiphyseal dysplasia
Elbow/Radial Head Dislocation,Multiple synostosis syndrome
Elbow/Radial Head Dislocation,Nail-patella syndrome
Elbow/Radial Head Dislocation,Neurofibromatosis
Elbow/Radial Head Dislocation,Neuropathic arthropathy
Elbow/Radial Head Dislocation,Noonan syndrome
Elbow/Radial Head Dislocation,Occipital horn syndrome
Elbow/Radial Head Dislocation,Omodysplasia
Elbow/Radial Head Dislocation,Ophthalmomandibulomelic dysplasia
Elbow/Radial Head Dislocation,Opitz trigonocephaly syndrome
Elbow/Radial Head Dislocation,"Otopalatodigital syndrome, type I"
Elbow/Radial Head Dislocation,"Otopalatodigital syndrome, type II"
Elbow/Radial Head Dislocation,Pfeiffer syndrome
Elbow/Radial Head Dislocation,Pterygium (antecubital)
Elbow/Radial Head Dislocation,"Rhizomelic bone dysplasia with clublike femurs and humeri, elbow dislocation, etc."
Elbow/Radial Head Dislocation,Schwartz-Jampel syndrome
Elbow/Radial Head Dislocation,Seckel syndrome
Elbow/Radial Head Dislocation,Shprintzen-Goldberg syndrome
Elbow/Radial Head Dislocation,Spondylocarpotarso fusion syndrome
Elbow/Radial Head Dislocation,Spondyloepimetaphyseal dysplasia with joint laxity
Elbow/Radial Head Dislocation,Trisomy 8 
Elbow/Radial Head Dislocation,W syndrome
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Achondroplasia
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Acrocapitofemoral dysplasia
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Acrodysostosis
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Acrodysplasia with retinitis pigmentosa and nephropathy
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Acromesomelic dysplasia
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Acromicric dysplasia
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Acroscyphodysplasia
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Angel-shaped phalangoepiphyseal dysplasia
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Anorchia and cone-shaped epiphyses
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Apert syndrome
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Asphyxiating thoracic dysplasia
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Beckwith-Wiedemann syndrome
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Bilginturan syndrome
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,"Brachydactyly syndrome, type E"
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Burn
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Chondroectodermal dysplasia
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Cleidocranial dysplasia
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Cockayne syndrome
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Dactylitis
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Distal symphalangism-dental syndrome
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,DOOR syndrome
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Enchondromatosis
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,FGFR-opathies (Meunke type) 
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Fitzsimmons syndrome
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Frostbite
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Hyperthyroidism
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Hypochondroplasia
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Hypophosphatasia
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Infarction
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,"Infection: postmeningococcal septicemia, etc."
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Kashin-Beck disease
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,"Metaphyseal chondrodysplasia, Jansen type"
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,"Metaphyseal chondrodysplasia, McKusick type"
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Metaphyseal chondrodysplasias
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Microcephalic osteodysplastic dysplasia
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,"Nephronophthisis, tapeto-retinal degeneration, hepatic fibrosis"
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Nicolaides-Baraitser syndrome
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Orofaciodigital syndrome  I
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Osteogenesis irnperfecta
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,"Otopalatodigital syndrome, type I"
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Poland syndrome
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Pseudohypoparathyroidism
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Radiation injury
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Robinow syndrome
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Ruvalcaba syndrome
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Saethre-Chotzen syndrome
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Scurvy
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Seckel syndrome
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,"Short stature, delayed epiphyseal and carpal ossification, cane-shaped epiphyses, etc"
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,"Spondyloepimetaphyseal dysplasia, cone-shaped epiphysis type"
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Synpolydactyly
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Trauma
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Trichorhinophalangeal syndrome type I
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Trichorhinophalangeal syndrome type ll 
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Trichoscyphodysplasia
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,"Vitamin A intoxication, chronic"
Epiphysis: Cone-Shaped/Bait-in-Socket Deformity,Weill-Marchesani syndrome
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Acrodysostosis
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Aseptic necrosis
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Avascular necrosis
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Chondrodysplasia punctata
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Cockayne syndrome
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Coffin-Lowry syndrome
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Coffin-Siris syndrome
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Dappled diaphyseal dysplasia
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Deaf mutism-goiter-euthyroidism syndrome
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Deprivation dwarfism
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Diastrophic dysplasia
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Down syndrome
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Dyggve-Melchior-Clausen dysplasia
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Dysplasia epiphysealis hemimelica
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect","Epiphyseal dysplasia of the femoral head, severe myopia, and  perceptive hearing loss; male siblings"
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect","Epiphyseal dysplasia, coxa vara, and microcephaly"
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Frostbite
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Gigantism (pituitary) 
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Homocystinuria
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Hydrops-ectopic calcification-moth-eaten
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Hypercalcemia
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Hyperparathyroidism (secondary)
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Hypopituitarism
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Hypothyroidism
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Infantile multisystem inflammatory disease
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Isolated phalangeal ivory epiphysis (normal variant)
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Kniest dysplasia
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Lowry-Wood syndrome
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Metaphyseal chondrodysplasias
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Metatropic dysplasia
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Meyer dysplasia of femoral head
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Microcephalic osteodysplastic dysplasia
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Mucolipidoses
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Mucopolysaccharidoses
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Mucopolysaccharidosis IV A
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Multiple epiphyseal dysplasia
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Osteochondroses
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Osteomyelitis
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Osteopathia striata
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Osteopoikilosis
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Pacman dysplasia 
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Parastremmatic dysplasia 
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Pseudoachondroplasia 
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Rheumatoid arthritis 
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Robinow syndrome 
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Schwartz-Jampel syndrome 
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Seckel Syndrome
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Silver-Russell syndrome
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Smith-Lemli-Opitz syndrome I
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Smith-McCort syndrome 
